,skills,company_name,job_title,job_type,job_seniority,job_category,job_min_salary,job_max_salary,job_sal_type,job_description_p,job_description_li,job_requirement_p,job_requirement_li
191,"['linux', 'windows server', 'microsoft sql server', 'mysql', 'project management', 'software development', 'active directory', 'itil', 'networking', 'vmware', 'java', 'system administration', 'troubleshooting', 'integration', 'sql', 'data center', 'php', 'telecommunications', 'virtualization', 'servers']",hooq digital pte. ltd.,data engineer,permanent,manager,"engineering, information technology",,,,"['we are looking for a data engineer to join our rapidly expanding data & analytics team. you will help shape how we build and grow our service in the region. we look for self-starters who demand the best.', 'key responsibilities:']","['\xa0develop etl/elt jobs to integrate new data into the data warehouse or build new reporting schemas', 'develop data pipelines, both bath and realtime from various platforms into the data lake', 'manage various data platforms and seek out new technologies to improve efficiency', 'develop advanced analytical models that help the business identify trends within customer base and behavior', 'work closely with the business to understand data needs and create data sets to enable reporting and dashboards to monitor business performance', 'ensure the data warehouse load jobs run as per schedule and data availability to the business is uninterrupted', 'continuously improve the information management platforms of the company to leverage benefits']",['desired skills and experience'],"['minimum 3 years of solid development experience within a data warehouse/information management team with strong understanding of programming languages like java, python, javascript and sql.', 'hands on experience in full-stack development, design and architecture. experience in creating a rest api that can handle a production load (code + deploy).', 'familiarity with aws (dynamodb, redshift, s3, ec2, rds, lambda) (will be an advantage but not mandatory)', 'minimum 3 years development experience with etl/elt tools (preferably pentaho di, informatica, datastage or talend)', 'proven experience with data warehousing and big data technologies', 'working knowledge of big data technologies like hadoop, hive, spark and streaming/messaging services like kafka,spark streaming.', 'solid understanding of some bi tools such as cognos, qlikview or tableau.', 'comfortable working in dynamic fast paced environment with competing priorities. self-starter and willing and able to learn on your own', 'work well within a team environment and willing to accommodate task and duties that maybe outside of your jd for limited time periods']"
192,"['strategy', 'strategic planning', 'management', 'public policy', 'research', 'business strategy', 'leadership', 'program management', 'project management', 'analysis', 'government', 'policy analysis', 'economics', 'policy', 'project planning', 'business development', 'data analysis', 'entrepreneurship', 'management consulting', 'change management']",ministry of home affairs,"senior assistant director (network and data infra), eoid",full time,,"others, public / civil service",,,,"['the ministry of home affairs (mha) aspires to be a world-class organisation in delivering safety and security for our people. in pursuing our mission to make singapore our safe and secure best home, we remain always constant and true to our core values of honour and unity.', 'the jobholder will lead the maintenance and engineering support function for the mha-wide enterprise ops infrastructures (eoi) for network transmission/operations, data exchange, and data and video hosting platforms, to ensure high availability and secured services that will meet mha’s operation needs as well as to support the home team’s key operational systems and next generation ops-tech capabilities. he shall also perform other ad-hoc tasks as directed by the director or higher.', '\xa0', 'his key responsibilities are as follows:', '\xa0', 'job requirements:', 'professional certifications/trainings in;', 'for transmission network, network/security operation centre:', 'for data hosting platform;', 'for video hosting platform;', 'relevant systems integration experience', '\xa0', 'all new appointees will be appointed on a two-year contract in the first instance.', 'we wish to inform that only shortlisted candidates will be notified within 30 days upon closing of the advertisement.']","['lead the system management of the mha eoi', 'develop and maintain governance on the technical standards and processes for the eoi to ensure the system is robust and secure and the services are delivered effectively and efficiently.', 'ensure that the following core duties are carried out:', 'contract management', 'fault management', 'configuration management', 'utilisation and resources capacity planning\xa0', 'maintain overall ict security posture', 'monitoring, system controller (syscon) and automation management', 'asset and inventory management', 'project management', 'a recognised degree in computer science or engineering in related field', 'minimum 5 years of relevant working experience managing large scale/enterprise-wide ict infrastructures in a data centre environment', ' professional certifications/trainings in;for transmission network, network/security operation centre:  cisco certified network professional (ccnp/ccna), metro ethernet forum - carrier ethernet certified professional (mef-cecp), certified information systems security professional (cissp), certified information systems manager (cism), for data hosting platform;  have attended basic trainings data analytics and big data technologies have working knowledge on managing relational databases understand the various big data architectures (e.g. lambda etc.) and technologies (e.g. hadoop etc.).\xa0 familiar with industry solutions such as cloudera, hortonworks, sap hana and ibm big data platform. for video hosting platform;  have working knowledge and experience in video standards/architecture, video management and surveillance camera technologies familiar with cloud platform for hosting understand big data architecture and technologies  relevant systems integration experience  ', ' for transmission network, network/security operation centre:  cisco certified network professional (ccnp/ccna), metro ethernet forum - carrier ethernet certified professional (mef-cecp), certified information systems security professional (cissp), certified information systems manager (cism),  ', 'cisco certified network professional (ccnp/ccna), metro ethernet forum - carrier ethernet certified professional (mef-cecp), certified information systems security professional (cissp), certified information systems manager (cism),', ' for data hosting platform;  have attended basic trainings data analytics and big data technologies have working knowledge on managing relational databases understand the various big data architectures (e.g. lambda etc.) and technologies (e.g. hadoop etc.).\xa0 familiar with industry solutions such as cloudera, hortonworks, sap hana and ibm big data platform.  ', 'have attended basic trainings data analytics and big data technologies', 'have working knowledge on managing relational databases', 'understand the various big data architectures (e.g. lambda etc.) and technologies (e.g. hadoop etc.).\xa0', 'familiar with industry solutions such as cloudera, hortonworks, sap hana and ibm big data platform.', ' for video hosting platform;  have working knowledge and experience in video standards/architecture, video management and surveillance camera technologies familiar with cloud platform for hosting understand big data architecture and technologies  relevant systems integration experience', 'have working knowledge and experience in video standards/architecture, video management and surveillance camera technologies', 'familiar with cloud platform for hosting', 'understand big data architecture and technologies', ' relevant systems integration experience ', 'experience in project management and system management is a must', 'experience in supervisory position with reporting staff is a must', 'understanding of security policies and operational environment', 'good understanding of it infrastructure components, such as server, network, big data hosting, video platform, storage and security', 'understanding of security policies and operational environment', 'understanding of information technology infrastructure library (itil) and business continuity planning (bcp) framework', 'experience in contract management', 'analytical, able to work within tight deadlines, think on his feet', 'able to reconcile different operational requirement and rationalise with various stakeholders on the usage of centralised managed bandwidth resources in the most cost effective manner.', 'good communications and writing skills', 'necessity to respond to incidents that may occur 24/7 \xa0 ']",[],[]
193,"['management', 'project management', 'java', 'integration', 'cloud computing', 'strategy', 'software development', 'leadership', 'enterprise architecture', 'linux', 'it strategy', 'sql', 'enterprise software', 'business analysis', 'start-ups', 'crm', 'business intelligence', 'software project management', 'databases', 'mysql']",bioquest advisory pte. ltd.,managers / senior managers (technology consulting),"permanent, full time","senior management, middle management, professional","consulting , information technology, professional services","$4,000","$12,000",monthly,"['introducing our firm', 'bioquest advisory is a singapore based consulting business led by experienced industry veterans from global technology and consulting firms. we partner our industry clients to transform their business and build sustainable growth.', 'our key expertise: robotic process automation, data analytics, business systems implementation, business strategy & transformation, process improvement, supply chain management, financial management, governance & risk management.', '\u200bour clients consist of global mncs and singapore businesses spanning across multiple industries and asia pacific countries.\xa0', '\u200bthe opportunity', 'bioquest advisory is at the exciting phase of our growth in singapore and across apac region and is looking for experienced consulting practitioners with strong technical skills in emerging technology in the area of artificial intelligence and data analytics to be part of our journey.', 'the role', 'you would be part of our management team to steer the growth of the firm.', 'your role involves:', 'joiners at manager level would be guided to grow in this role.']","['building and maintaining a strong sales pipeline', 'identifying opportunities in new emerging technology', 'working in close collaboration with our technology business partners', 'leading engagements and managing senior stakeholders', 'advice clients on leading and best practice', 'developing methodologies and tools with subject matter experts', 'growing and managing our talent pool']","['your profile', 'attributes we are looking for:', 'join us', 'at bioquest, we value collaboration, teamwork and knowledge transfers. our culture is friendly and supportive with a strong emphasis on ethics, diversity and inclusiveness.', 'as you grow with our firm, you would be able to leverage on your expertise to help transform our clients’ business and gain experience for your personal professional development. we are committed to providing opportunities and coaching to grow our talents.', 'we are an equal opportunity employer.', '\xa0']","['degree in information technology or any other related discipline', '4 to 8 years of good track record in delivering technology projects', 'strong capabilities in understanding clients’ business challenges and translating to sales opportunities', 'good technical understanding in emerging technology (i.e. robotic process automation, data analytics) and it infrastructure (i.e. server, it security, network, data centre)', 'good communicator, able to think-on-your-feet, have a customer service attitude', 'demonstrate leadership skills and ability to effectively communicate and manage change\xa0', 'highly motivated with a passion in technology and consulting.', 'effective communicator and excellent problem solver who can prioritize workloads in a dynamic environment.', 'strong people skills to manage stakeholders and internal talents', 'genuine interest in a long-term career with a fast growing firm']"
194,"['research', 'lecturing', 'teaching', 'science', 'mathematical modeling', 'algorithms', 'latex', 'matlab', 'simulations', 'computer science', 'data analysis', 'higher education', 'university teaching', 'english', 'machine learning', 'programming', 'qualitative research', 'statistics', 'entrepreneurship', 'numerical analysis']",national university of singapore,"senior lecturer, university",full time,professional,education and training,"$84,000","$126,000",annually,"['the department of communications and new media at national university of singapore is looking to fill the following educator track (teaching only) positions.', 'senior lecturer\xa0in:', '(a) communication management (1 position)', 'we seek applicants with expertise in public relations and corporate communication, with experience (industry related and/or teaching) in one or more of the following areas:', '(b) interactive media design (1 position)', 'we seek applicants with expertise in data science, interactive media design and software studies. the applicant will have (industry related and/or teaching) experience in one or more of the following areas :', '(c) digital media cultures (1 position)', 'we seek applicants with expertise in cultural studies; new media art and digital film criticism, and; cultural and critical theories. the applicant will have (practice related and/or teaching) experience in:']","['social media marketing and management', 'organisational and small group communication', 'public speaking and critical reasoning', 'crisis and risk communication', 'leadership, organisation and new media', 'data analytics, big data, data visualisation, and use of software tools such as r and python, and web technologies.', 'computational media and communication, and artificial intelligence', 'game studies', 'user interface, user experience and hci design', 'digital media cultures', 'globalisation and new media', 'culture and creative industry studies', 'digital storytelling']","['successful candidates must have a phd in communications or a closely affiliated discipline by the appointment of start date and a record of excellence in teaching in large comprehensive universities. a passion for working closely with students and a commitment to student learning are essential. successful candidates are also expected to have experience with online teaching and the development of moocs.', 'appointment grade/requirements:\xa0phd degree or equivalent; with approximately 5 or more years of teaching experience (preferably at\xa0lecturer level, but experience as teaching assistant/instructor may be considered on a case-by-case basis)\xa0and evidence of impact in higher education settings required.', 'responsibilities:\xa0successful candidates are expected to teach five modules per academic year. other duties include supervising 4-6 honours students and graduate students, academic advising and undertaking service roles including coordinating the department’s compulsory internship programme.', 'the department of communications and new media was established as a full programme in 2004. it is currently ranked #1 in asia (the2018) and #14 in the world (qs2018). it has one of the largest student enrolments in the faculty of arts and social sciences. it offers undergraduate, honours and phd programmes in communications and new media studies, with an innovative curriculum that introduces students to key debates in the areas of media studies, communication management, interactive media design and cultural studies. its curriculum provides students with practical skills in social media management, user experience and user interface design, and digital marketing. its students undertake industry immersion through its compulsory internship programme. the department also offers an undergraduate double degree with the school of business; undergraduate minors in interactive media design and cultural studies, and the cultural studies in asia phd programme. its research concentrations are media effects and psychology, health communication and cultural studies.', 'please send in your application to ms jasmin tay (cnmbox15@nus.edu.sg). instructions on the application procedure can be found via the link - http://www.fas.nus.edu.sg/cnm/about-cnm/job-openings/academic-jobs', 'further information about the department can be found at: http://www.fas.nus.edu.sg/cnm/', 'more information about the university can be found at: http://www.nus.edu.sg/', 'applications close by 2 november 2018.', 'only short-listed candidates will be notified.']",[None]
195,"['research', 'lecturing', 'teaching', 'science', 'mathematical modeling', 'algorithms', 'latex', 'matlab', 'simulations', 'computer science', 'data analysis', 'higher education', 'university teaching', 'english', 'machine learning', 'programming', 'qualitative research', 'statistics', 'entrepreneurship', 'numerical analysis']",national university of singapore,"lecturer, university",full time,professional,education and training,"$66,000","$99,000",annually,"['the department of communications and new media at national university of singapore is looking to fill the following educator track (teaching only) positions.', 'lecturer in:', '(a) communication management (1 position)', 'we seek applicants with expertise in public relations and corporate communication, with experience (industry related and/or teaching) in one or more of the following areas:', '(b) interactive media design (1 position)', 'we seek applicants with expertise in data science, interactive media design and software studies. the applicant will have (industry related and/or teaching) experience in one or more of the following areas :', '(c) digital media cultures (1 position)', 'we seek applicants with expertise in cultural studies; new media art and digital film criticism, and; cultural and critical theories. the applicant will have (practice related and/or teaching) experience in:']","['social media marketing and management', 'organisational and small group communication', 'public speaking and critical reasoning', 'crisis and risk communication', 'leadership, organisation and new media', 'data analytics, big data, data visualisation, and use of software tools such as r and python, and web technologies.', 'computational media and communication, and artificial intelligence', 'game studies', 'user interface, user experience and hci design', 'digital media cultures', 'globalisation and new media', 'culture and creative industry studies', 'digital storytelling']","['successful candidates must have a phd in communications\xa0or a closely affiliated discipline by the appointment of start date and a record of excellence in teaching in large comprehensive universities. a passion for working closely with students and a commitment to student learning are essential. successful candidates are also expected to have experience with online teaching and the development of moocs.', 'appointment grade/ requirements:\xa0phd degree or equivalent; some teaching experience in higher education settings\xa0will be an advantage.', 'successful candidates are expected to teach five modules per academic year. other duties include supervising 4-6 honours students and graduate students, academic advising and undertaking service roles including coordinating the department’s compulsory internship programme.', 'the department of communications and new media was established as a full programme in 2004. it is currently ranked #1 in asia (the2018) and #14 in the world (qs2018). it has one of the largest student enrolments in the faculty of arts and social sciences. it offers undergraduate, honours and phd programmes in communications and new media studies, with an innovative curriculum that introduces students to key debates in the areas of media studies, communication management, interactive media design and cultural studies. its curriculum provides students with practical skills in social media management, user experience and user interface design, and digital marketing. its students undertake industry immersion through its compulsory internship programme. the department also offers an undergraduate double degree with the school of business; undergraduate minors in interactive media design and cultural studies, and the cultural studies in asia phd programme. its research concentrations are media effects and psychology, health communication and cultural studies.', 'please send in your application to ms jasmin tay (cnmbox15@nus.edu.sg). instructions on the application procedure can be found via the link - http://www.fas.nus.edu.sg/cnm/about-cnm/job-openings/academic-jobs', 'further information about the department can be found at: http://www.fas.nus.edu.sg/cnm/', 'more information about the university can be found at: http://www.nus.edu.sg/', 'applications close by 2 november 2018.', 'only short-listed candidates will be notified.']",[None]
196,"['research', 'lecturing', 'teaching', 'science', 'mathematical modeling', 'algorithms', 'latex', 'matlab', 'simulations', 'computer science', 'data analysis', 'higher education', 'university teaching', 'english', 'machine learning', 'programming', 'qualitative research', 'statistics', 'entrepreneurship', 'numerical analysis']",national university of singapore,academic instructor,full time,professional,education and training,"$50,000","$75,000",annually,"['the department of communications and new media at national university of singapore is looking to fill the following educator track (teaching only) positions.', 'instructor (educator track) in:', '(a) communication management (1 position)', 'we seek applicants with expertise in public relations and corporate communication, with experience (industry related and/or teaching) in one or more of the following areas:', '(b) interactive media design (1 position)', 'we seek applicants with expertise in data science, interactive media design and software studies. the applicant will have (industry related and/or teaching) experience in one or more of the following areas :', '(c) digital media cultures (1 position)', 'we seek applicants with expertise in cultural studies; new media art and digital film criticism, and; cultural and critical theories. the applicant will have (practice related and/or teaching) experience in:']","['social media marketing and management', 'organisational and small group communication', 'public speaking and critical reasoning', 'crisis and risk communication', 'leadership, organisation and new media', 'data analytics, big data, data visualisation, and use of software tools such as r and python, and web technologies.', 'computational media and communication, and artificial intelligence', 'game studies', 'user interface, user experience and hci design', 'digital media cultures', 'globalisation and new media', 'culture and creative industry studies', 'digital storytelling']","['successful candidates must have a phd in communications (or a ma for instructor position) or a closely affiliated discipline by the appointment of start date and a record of excellence in teaching in large comprehensive universities. a passion for working closely with students and a commitment to student learning are essential. successful candidates are also expected to have experience with online teaching and the development of moocs.', 'appointment grade/\xa0requirements:', 'master’s degree with good knowledge, skills and expertise in relevant field; approximately 2 years of teaching experience.', 'responsibilities: successful candidates are expected to teach five modules per academic year. other duties include supervising 4-6 honours students and graduate students, academic advising and undertaking service roles including coordinating the department’s compulsory internship programme.', 'the department of communications and new media was established as a full programme in 2004. it is currently ranked #1 in asia (the2018) and #14 in the world (qs2018). it has one of the largest student enrolments in the faculty of arts and social sciences. it offers undergraduate, honours and phd programmes in communications and new media studies, with an innovative curriculum that introduces students to key debates in the areas of media studies, communication management, interactive media design and cultural studies. its curriculum provides students with practical skills in social media management, user experience and user interface design, and digital marketing. its students undertake industry immersion through its compulsory internship programme. the department also offers an undergraduate double degree with the school of business; undergraduate minors in interactive media design and cultural studies, and the cultural studies in asia phd programme. its research concentrations are media effects and psychology, health communication and cultural studies.', 'refer to\xa0http://www.fas.nus.edu.sg/cnm/about-cnm/job-openings/academic-jobs for more information.', 'applications close by 2 november 2018.', 'only short-listed candidates will be notified.']",[None]
197,"['strategy', 'strategic planning', 'management', 'public policy', 'research', 'business strategy', 'leadership', 'program management', 'project management', 'analysis', 'government', 'policy analysis', 'economics', 'policy', 'project planning', 'business development', 'data analysis', 'entrepreneurship', 'management consulting', 'change management']",nanyang technological university,"senior assistant director, internal audit","contract, full time",senior management,accounting / auditing / taxation,,,,"['this is an exciting opportunity to join one of the leading and growing university of singapore. we are seeking for a candidate with prior internal & external auditing experience, preferably with good working knowledge of data analytics, to be part of our newly created audit team.\xa0', 'as a senior assistant director, you will be reporting to the deputy director and will be responsible for planning and conducting various internal audits, which may cover financial, operational, compliance and it systems of controls. you will also have ad-hoc responsibilities such as special/specific investigations and reviews or supporting senior internal audit leadership with planning and administrative assistance.', 'key responsibilities:\xa0 ', 'your roles and responsibilities would include the following:']","['develop and review audit universe (auditable units: by business units and/or processes)', 'develop and review audit risk assessment methodology', 'develop and review risk-based audit plans (by business units/processes)', 'develop and review audit budget required to complete risk-based audit plans', 'develop and review internal audit programmes', 'complete relevant audits as required in the approved audit plans', 'perform special investigations as and when required', 'review audit working-papers to ensure its quality meets iia standards', 'review and evaluate policy/procedures/system designs for any gaps in its adequacy & effectiveness', 'develop/utilise data analytic tools/scripts, where applicable', 'provide practical and value-added opinions and recommendations', 'issue timely audit reports', 'provide on-the-job training to supporting team members', 'provide advisory services to business unites and auditees as and when required', 'actively engage the various business units to build good partnership', 'coordinate with internal colleagues and external audit firms on the audit schedule; meetings and resources required', 'assist in all administrative work required for running of the department.']","['if you are looking for a career that is rewarding, fulfilling and one that makes a difference to enhancing accountability over the use and management of public funds and resources, join our internal audit office now. \xa0\xa0', 'we regret that only shortlisted candidate will be notified.']","['bachelor degree in accountancy or any related discipline', 'hold professional qualifications (e.g. cia/crma/cisa/cfe/ca)', 'at least 10 years of audit experience (internal & external)', 'working knowledge of data analysis software such as acl/tableau would be a plus', 'familiarity with sap/workday systems would be an added advantage', 'relevant audit experience in the educational/research industry is preferred \xa0', 'able to work independently', 'strong analytical and critical thinking skills', 'meticulous with a keen eye for details', 'excellent communication and interpersonal skills to deal with all levels of management as well as external professionals', 'strong report-writing and presentation skills']"
198,"['human resources', 'recruiting', 'employee engagement', 'employee relations', 'talent acquisition', 'talent management', 'performance management', 'hr policies', 'screening', 'performance appraisal', 'sourcing', 'hris', 'recruitments', 'personnel management', 'technical recruiting', 'management', 'benefits negotiation', 'interviews', 'training', 'hr consulting']",aureus group pte. ltd.,hr executive,"contract, full time",executive,human resources ,"$3,000","$3,500",monthly,[None],[None],"['a. administrative duties pertaining to hr\n b. work pass assessment, applications, card applications and renewals\n c. assist in preparation for contracts and renewal documents\n d. contracts and other hr documents management\xa0\n e. payroll and cpf contributions\xa0\n f. \xa0staff information management and maintenance\n g. preparation of data report for management and ministry of manpower']",[None]
199,"['matlab', 'algorithms', 'c++', 'machine learning', 'c', 'python', 'java', 'simulations', 'linux', 'software engineering', 'programming', 'r&d', 'computer science', 'latex', 'engineering', 'image processing', 'signal processing', 'software development', 'data mining', 'research']","technology centre for offshore and marine, singapore ltd.","research engineer / scientist (control system), tcoms","contract, full time",non-executive,sciences / laboratory / r&d,"$2,500","$5,000",monthly,[None],"['develop hardware and software control architectures to support r&d in the areas of offshore hydrodynamics and fluid-structure interactions. this includes developing, documenting, and direct software system testing, troubleshooting, and verification procedures.', 'develop engineering requirements, specification and validation criteria for high-quality research using combinations of physical experiments, sensing, numerical simulations as well as data analytics to develop integrated physical-numerical modelling & simulations.', 'survey literature and implement state-of-the-art techniques to solve challenging problems', 'collaborate with industry partners, affiliated research institutes and other relevant stakeholders to assist in securing further research grants.', 'any other duties as assigned by supervisor.']",['the above eligibility criteria are not exhaustive. a*star may include additional selection criteria based on its prevailing recruitment policies. these policies may be amended from time to time without notice. we regret that only shortlisted candidates will be notified.'],"['masters/ph.d. in electrical engineering, mechatronics or other related disciplines.', 'preferably 3 years of relevant postdoctoral/research/industry experience with competent knowledge in some of the following areas:', 'strong working knowledge of control systems and formal control theory', 'experience in control system applications using advanced/pid controllers for position, speed control of ac/dc servo motors and stepper motors', 'knowledgeable in embedded system design, microprocessor architecture and real-time programming algorithms, embedded board level c/c++ programming experience in motion control', 'linux development experience will be an advantage', 'experience with embedded systems and real time applications will be an advantage', 'knowledge of common plc/pac/scada systems', 'exposure to field bus communications and networking systems', 'knowledge of 3d cad tools (dassault, ptc, and/or autodesk) and software like labview, matlab, and simulink etc.', 'experience with common engineering simulation and prototyping tools', 'good interpersonal and communications skills.', 'ability to adapt and work effectively as members of a team.', 'good command of written and spoken english language.', 'resourceful and self-driven with a high degree of professional integrity.']"
200,"['matlab', 'algorithms', 'c++', 'machine learning', 'c', 'python', 'java', 'simulations', 'linux', 'software engineering', 'programming', 'r&d', 'computer science', 'latex', 'engineering', 'image processing', 'signal processing', 'software development', 'data mining', 'research']","technology centre for offshore and marine, singapore ltd.","research engineer (wp1), tcoms","contract, full time",non-executive,sciences / laboratory / r&d,"$3,400","$6,800",monthly,"['about technology centre for offshore and marine singapore', 'tcoms is a national centre of excellence established by the agency for science, technology and research (a*star) and the national university of singapore (nus) to spur research excellence and advance singapore’s marine & offshore engineering (m&oe) industry. the centre is also supported by the singapore economic development board (edb) and the maritime & port authority of singapore (mpa), and seeks to develop and validate innovative concepts and solutions for m&oe operations. through strategic global partnerships with industry and research institutions, tcoms aims to push frontiers in the development of safe, reliable and sustainable future systems for mankind. a key feature of tcoms is a next-generation ocean basin with forefront simulation capabilities.', 'job description']","['perform research in the areas of offshore hydrodynamics and fluid-structure interactions pertaining to ocean hydrodynamic environment and behaviour of marine & offshore vessels and floating systems in challenging environments.', 'conduct extensive and high-quality research using combinations of physical experiments, sensing, numerical simulations using cfd and/or potential flow-based models or other relevant techniques, as well as data analytics to develop integrated physical-numerical modelling & simulations.', 'collaborate with industry partners, affiliated research institutes and other relevant stakeholders to assist in securing further research grants.', 'any other duties as assigned by supervisor.']",['the above eligibility criteria are not exhaustive. a*star may include additional selection criteria based on its prevailing recruitment policies. these policies may be amended from time to time without notice. we regret that only shortlisted candidates will be notified.'],"['a masters/ph.d. from reputable universities in civil engineering, mechanical engineering, ocean engineering, marine engineering, offshore engineering, physical oceanography, applied mathematics or other related disciplines.', 'preferably 3 years of relevant postdoctoral/research/industry experience with competent knowledge in some of the following areas.deep knowledge in using cfd and/or potential flow-based models to model and simulate ocean wave hydrodynamics, such as nonlinear wave-wave interactions, wave breaking, and wave growth evolution. physical modelling in wave flume, wave tank or ocean basin. sensing, data analytics and machine learning. knowledge of following numerical methods/software is an advantage: higher order spectral method (hosm), boundary element method (bem) or equivalent potential flow method; and openfoam, starccm+ or equivalent cfd software ', 'deep knowledge in using cfd and/or potential flow-based models to model and simulate ocean wave hydrodynamics, such as nonlinear wave-wave interactions, wave breaking, and wave growth evolution.', 'physical modelling in wave flume, wave tank or ocean basin.', 'sensing, data analytics and machine learning.', 'knowledge of following numerical methods/software is an advantage: higher order spectral method (hosm), boundary element method (bem) or equivalent potential flow method; and openfoam, starccm+ or equivalent cfd software  ', 'higher order spectral method (hosm), boundary element method (bem) or equivalent potential flow method; and', 'openfoam, starccm+ or equivalent cfd software', 'good interpersonal and communications skills.', 'ability to adapt and work effectively as members of a team.', 'good command of written and spoken english language.', 'resourceful and self-driven with a high degree of professional integrity.']"
201,"['r&d', 'molecular biology', 'biotechnology', 'lifesciences', 'biochemistry', 'science', 'drug discovery', 'research', 'cell culture', 'algorithms', 'matlab', 'machine learning', 'pharmaceutical industry', 'cell biology', 'chemistry', 'protein chemistry', 'simulations', 'assay development', 'data analysis', 'drug development']","technology centre for offshore and marine, singapore ltd.","scientist (wp1), tcoms","contract, full time",non-executive,sciences / laboratory / r&d,"$4,500","$9,000",monthly,"['about technology centre for offshore and marine singapore', 'tcoms is a national centre of excellence established by the agency for science, technology and research (a*star) and the national university of singapore (nus) to spur research excellence and advance singapore’s marine & offshore engineering (m&oe) industry. the centre is also supported by the singapore economic development board (edb) and the maritime & port authority of singapore (mpa), and seeks to develop and validate innovative concepts and solutions for m&oe operations. through strategic global partnerships with industry and research institutions, tcoms aims to push frontiers in the development of safe, reliable and sustainable future systems for mankind. a key feature of tcoms is a next-generation ocean basin with forefront simulation capabilities.', 'job description']","['perform research in the areas of offshore hydrodynamics and fluid-structure interactions pertaining to ocean hydrodynamic environment and behaviour of marine & offshore vessels and floating systems in challenging environments.', 'conduct extensive and high-quality research using combinations of physical experiments, sensing, numerical simulations using cfd and/or potential flow-based models or other relevant techniques, as well as data analytics to develop integrated physical-numerical modelling & simulations.', 'collaborate with industry partners, affiliated research institutes and other relevant stakeholders to assist in securing further research grants.', 'any other duties as assigned by supervisor.']",['the above eligibility criteria are not exhaustive. a*star may include additional selection criteria based on its prevailing recruitment policies. these policies may be amended from time to time without notice. we regret that only shortlisted candidates will be notified.'],"['a masters/ph.d. from reputable universities in civil engineering, mechanical engineering, ocean engineering, marine engineering, offshore engineering, physical oceanography, applied mathematics or other related disciplines.', 'preferably 3 years of relevant postdoctoral/research/industry experience with competent knowledge in some of the following areas.deep knowledge in using cfd and/or potential flow-based models to model and simulate ocean wave hydrodynamics, such as nonlinear wave-wave interactions, wave breaking, and wave growth evolution. physical modelling in wave flume, wave tank or ocean basin. sensing, data analytics and machine learning. knowledge of following numerical methods/software is an advantage: higher order spectral method (hosm), boundary element method (bem) or equivalent potential flow method; and openfoam, starccm+ or equivalent cfd software ', 'deep knowledge in using cfd and/or potential flow-based models to model and simulate ocean wave hydrodynamics, such as nonlinear wave-wave interactions, wave breaking, and wave growth evolution.', 'physical modelling in wave flume, wave tank or ocean basin.', 'sensing, data analytics and machine learning.', 'knowledge of following numerical methods/software is an advantage: higher order spectral method (hosm), boundary element method (bem) or equivalent potential flow method; and openfoam, starccm+ or equivalent cfd software  ', 'higher order spectral method (hosm), boundary element method (bem) or equivalent potential flow method; and', 'openfoam, starccm+ or equivalent cfd software', 'good interpersonal and communications skills.', 'ability to adapt and work effectively as members of a team.', 'good command of written and spoken english language.', 'resourceful and self-driven with a high degree of professional integrity.']"
